[2025-05-17 12:40:08] User: a | Event: Event | Description: TokenService
[2025-05-17 12:40:08] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:40:13] User: b | Event: Event | Description: LOGIN
[2025-05-17 12:40:13] User: b | Event: Event | Description: TokenService
[2025-05-17 12:40:13] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:44:47] User: a | Event: Event | Description: LOGIN
[2025-05-17 12:44:47] User: a | Event: Event | Description: TokenService
[2025-05-17 12:44:47] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:45:00] User: b | Event: Event | Description: LOGIN
[2025-05-17 12:45:00] User: b | Event: Event | Description: LOGIN_FAILED - WRONG_PASSWORD
[2025-05-17 12:45:00] User: b | Event: Event | Description: LOGIN_FAILED
[2025-05-17 12:45:05] User: b | Event: Event | Description: LOGIN
[2025-05-17 12:45:05] User: b | Event: Event | Description: TokenService
[2025-05-17 12:45:05] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:46:46] User: a | Event: Event | Description: LOGIN
[2025-05-17 12:46:46] User: a | Event: Event | Description: TokenService
[2025-05-17 12:46:46] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:46:47] User: b | Event: Event | Description: LOGIN
[2025-05-17 12:46:47] User: b | Event: Event | Description: TokenService
[2025-05-17 12:46:47] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:06:37] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:06:37] User: a | Event: Event | Description: TokenService
[2025-05-17 13:06:37] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:06:44] User: b | Event: Event | Description: LOGIN
[2025-05-17 13:06:44] User: b | Event: Event | Description: TokenService
[2025-05-17 13:06:44] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:10:30] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:10:30] User: a | Event: Event | Description: TokenService
[2025-05-17 13:10:30] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:10:31] User: b | Event: Event | Description: LOGIN
[2025-05-17 13:10:31] User: b | Event: Event | Description: TokenService
[2025-05-17 13:10:31] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:17:53] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:17:53] User: a | Event: Event | Description: TokenService
[2025-05-17 13:17:53] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:17:54] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:17:54] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:18:00] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:18:00] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:18:36] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:18:36] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:18:37] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:29:10] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:29:10] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:29:13] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:29:13] User: a | Event: Event | Description: TokenService
[2025-05-17 13:29:13] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:29:16] User: b | Event: Event | Description: LOGIN
[2025-05-17 13:29:17] User: b | Event: Event | Description: TokenService
[2025-05-17 13:29:17] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:38:39] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:38:39] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:38:45] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:38:45] User: a | Event: Event | Description: TokenService
[2025-05-17 13:38:45] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:38:46] User: b | Event: Event | Description: LOGIN
[2025-05-17 13:38:46] User: b | Event: Event | Description: TokenService
[2025-05-17 13:38:46] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:41:10] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-17 13:41:10] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-17 13:41:15] User: a | Event: Event | Description: LOGIN
[2025-05-17 13:41:15] User: a | Event: Event | Description: TokenService
[2025-05-17 13:41:15] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 13:41:16] User: b | Event: Event | Description: LOGIN
[2025-05-17 13:41:16] User: b | Event: Event | Description: TokenService
[2025-05-17 13:41:16] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:38:55] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 05:38:55] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 05:39:06] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:39:06] User: a | Event: Event | Description: TokenService
[2025-05-18 05:39:06] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:39:07] User: b | Event: Event | Description: LOGIN
[2025-05-18 05:39:07] User: b | Event: Event | Description: TokenService
[2025-05-18 05:39:07] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:42:02] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 05:42:02] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 05:42:04] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:42:05] User: a | Event: Event | Description: TokenService
[2025-05-18 05:42:05] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:42:09] User: b | Event: Event | Description: LOGIN
[2025-05-18 05:42:09] User: b | Event: Event | Description: TokenService
[2025-05-18 05:42:09] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:53:13] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:53:13] User: a | Event: Event | Description: TokenService
[2025-05-18 05:53:13] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:54:43] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:54:43] User: a | Event: Event | Description: TokenService
[2025-05-18 05:54:43] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:56:05] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:56:05] User: a | Event: Event | Description: TokenService
